Date	Result	WhiteElo	BlackElo	Opening	Moves
2018.06.30	1-0	1270	1270	Four Knights Game: Scotch Variation	1. e4 Nc6 2. Nf3 Nf6 3. Nc3 e5 4. d4 Bb4
2018.06.30	1-0	1805	1777	Sicilian Defense: Najdorf Variation, Amsterdam Variation	1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6
2018.06.30	1/2-1/2	1601	1655	Caro-Kann Defense: Advance Variation, Short Variation	1. e4 c6 2. Nf3 d5 3. e5 Bf5 4. d4 e6
2018.06.30	0-1	1345	1313	French Defense: La Bourdonnais Variation	1. e4 e6 2. f4 d6 3. Nf3 Ne7 4. Bc4 Nd7
2018.06.30	1-0	1451	1526	Caro-Kann Defense: Hillbilly Attack	1. e4 c6 2. Bc4 d5 3. exd5 cxd5 4. Bb3 Nc6
2018.06.30	0-1	819	800	King's Pawn Game: Leonardis Variation	1. e4 e5 2. d3 f6 3. Nf3 Nc6 4. Be2 g6
2018.06.30	1-0	1962	1835	Vienna Game: Vienna Gambit	1. e4 e5 2. Nc3 Nc6 3. f4 d6 4. Nf3 h6
2018.06.30	0-1	1218	1255	Goldsmith Defense	1. e4 h5 2. Nf3 h4 3. Nc3 d6 4. h3 e5
2018.06.30	0-1	1462	1601	Caro-Kann Defense: Hillbilly Attack	1. e4 c6 2. Bc4 d5 3. exd5 cxd5 4. Bb5+ Nc6
2018.06.30	0-1	1176	1189	French Defense: Knight Variation	1. e4 e6 2. Nf3 d5 3. exd5 exd5 4. Nc3 Nf6
2018.06.30	1-0	2190	2189	Queen's Gambit Declined: Exchange Variation, Positional Variation #2	1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. cxd5 exd5
2018.06.30	0-1	1758	1760	Sicilian Defense: Kan Variation, Knight Variation	1. e4 c5 2. Nf3 e6 3. d4 cxd4 4. Nxd4 a6
2018.06.30	1-0	1747	1856	French Defense: Advance Variation #4	1. e4 e6 2. d4 d5 3. e5 c5 4. Bb5+ Nc6
2018.06.30	0-1	1992	2103	French Defense: Knight Variation	1. e4 e6 2. Nf3 d5 3. exd5 exd5 4. d4 Nf6
2018.06.30	1/2-1/2	1221	1211	Scandinavian Defense	1. e4 d5 2. d3 d4 3. c3 c5 4. cxd4 Qxd4
2018.06.30	0-1	1011	970	Philidor Defense #2	1. e4 e5 2. Nf3 d6 3. Bb5+ c6 4. Bd3 Nf6
